瞒天过海：美人计,https://p0.meituan.net/movie/d6979be8cbc1179eec6caa1f651842cc179928.jpg,"桑德拉·布洛克,凯特·布兰切特,安妮·海瑟薇",2018-06-08(美国),https://maoyan.com/films/1190351,动作,美国,110分钟,黛比（桑德拉·布洛克 饰）是《十一罗汉》集团头目的妹妹，曾因盗窃入狱服刑。而黛比刚一出狱就策划惊天大案，与好友一起网罗顶尖高手，准备在一年一度的时尚盛会Met Gala（纽约大都会艺术博物馆慈善舞会）上盗取大明星Daphne Kluger（安妮·海瑟薇 饰）所佩戴，价值一亿五千万美金的卡地亚钻石项链。
德鲁大叔,https://p1.meituan.net/movie/a85aa4da3b238b25f7e512c1f8e1dff32321544.jpg,"凯里·欧文,里尔·莱尔·哈瓦瑞,沙奎尔·奥尼尔",2019-01-11,https://maoyan.com/films/1217351,剧情,美国,104分钟,达克斯（里尔·莱尔·哈瓦瑞 饰）为了一圆自己的篮球梦，参加在洛克公园举办的街头篮球锦标赛。在他输给对手穆奇后，自己的运势不断地走下坡路，直到达克斯遇见了前街头霸主——德鲁大叔（凯里·欧文 饰），希望获得他的助力，而德鲁大叔提出建立自己的球队。 为此，两人共同出发去寻找德鲁大叔的老队员们（沙奎尔·奥尼尔、克里斯·韦伯、雷吉·米勒、内特·罗宾逊），之后一场场精彩绝伦的比赛不断上演，也发生了一系列趣味横生的故事。
边境杀手2：边境战士,https://p0.meituan.net/movie/1663aecca195cb80428ab29e2c629d58386478.jpg,"本尼西奥·德·托罗,乔什·布洛林,凯瑟琳·基纳",2018-06-29(美国),https://maoyan.com/films/342901,动作,"美国,意大利",122分钟,该片由意大利导演斯蒂法诺·索利马执导，首部编剧泰勒·谢里丹操刀续集剧本，首部主演本尼西奥·德尔·托罗、乔什·布洛林均回归。续集故事将围绕首部中德尔·托罗扮演的墨西哥特工亚历桑德罗展开，聚焦于该角色的前世今生，他的家人如何被毒贩折磨，他又是如何变成心狠手辣的特工。乔什·布洛林依然饰演CIA探员，凯瑟琳·基纳将饰演他的的上司。
抱歉打扰,https://p0.meituan.net/movie/751d4691f14f64286ffa591bee3287362063089.jpg,"泰莎·汤普森,勒凯斯·斯坦菲尔德,史蒂文·元",2018-01-20(圣丹斯电影节),https://maoyan.com/films/880137,喜剧,美国,111分钟,泰莎·汤普森、勒凯斯·斯坦菲尔德、史蒂文·元加盟新片[抱歉打扰](Sorry to Bother You)。布茨·莱利首执导筒，制片福里斯特·惠特克。影片讲述一个自尊心极强的黑人电话推销员刚在提升业绩方面找到了捷径，便无意发现了隐藏在公司背后的黑暗秘密，他不得不在保持沉默和说出真相间做出选择。
秦明·生死语者,https://p0.meituan.net/movie/7f3c422d076dc222b342f2c601f64f1b1613946.jpg,"严屹宽,代斯,耿乐",2019-04-12,https://maoyan.com/films/1207185,悬疑,中国大陆,100分钟,影片根据法医秦明小说《尸语者》改编。讲述被誉为“鬼手佛心”的“尸语者”秦明（严屹宽 饰）解剖过 1000 多具尸体，从未出错，因意外发现泡在福尔马林里6年的“无语体师”死于他杀，引发媒体质疑误判，被舆论推至风口浪尖之上。在尸体留下的线索指引下，秦明在实习助手嘉嘉（代斯 饰）和刑警队长林涛（耿乐 饰）的协助调查下发现了尘封 16 年的雪灾杀人案、误判 6 年的“无语体师”他杀案、悬而无果的 IT 男肺炸案背后的秘密。经历了这一系列变故的秦明最终成为了一名“为死者言，为生者权”的“生死语者”。
哥斯拉2：怪兽之王,https://p0.meituan.net/movie/9954dd64ad44e6fd831ac09c31e26c6a189858.jpg,"米莉·波比·布朗,凯尔·钱德勒,莎莉·霍金斯",2019,https://maoyan.com/films/246061,动作,美国,138分钟,随着《哥斯拉》和《金刚：骷髅岛》在全球范围内的成功，华纳兄弟影片公司和传奇影业联手开启了怪兽宇宙系列电影的新篇章—一部史诗级动作冒险巨制。在这部电影中，哥斯拉将和众多大家在流行文化中所熟知的怪兽展开较量。全新故事中，研究神秘动物学的机构“帝王组织”成员将勇敢直面巨型怪兽，其中强大的哥斯拉也将和魔斯拉、拉顿和它的死对头——三头王基多拉展开激烈对抗。当这些只存在于传说里的超级生物再度崛起时，它们将展开王者争霸，人类的命运岌岌可危……
风中有朵雨做的云,https://p1.meituan.net/movie/b82ef7b5b411bd260352b41482044586277072.jpg,"井柏然,宋佳,马思纯",2019-04-04,https://maoyan.com/films/345875,剧情,中国大陆,129分钟,沿海小城，年轻警官杨家栋（井柏然 饰）初来乍到，恰遇建委主任唐奕杰（张颂文 饰）坠楼身亡，杨家栋展开调查，惨遭革职、追杀，一路逃往香港，与死者女儿小诺（马思纯 饰）意外邂逅，在小诺的协助下继续追查，浑然不觉自己正落入一个纯情陷阱。
小飞象,https://p0.meituan.net/movie/b9784931b6212e633978298fd827142b316254.jpg,"科林·法瑞尔,迈克尔·基顿,丹尼·德维托",2019-03-29,https://maoyan.com/films/346765,动画,美国,112分钟,一位前马戏团明星，刚从战争前线归来，霍特·法瑞尔(科林·法瑞尔 饰)在一家艰难经营的马戏团谋得一份工作，负责照顾刚出生的小象，带着两个善良的孩子，女儿米莉·法瑞尔(尼科·帕克 )和儿子乔·法瑞尔(芬利·霍宾斯 饰)，两个孩子和另外一个女孩玛茜特(蔡慧泉 饰)与小飞象成为朋友，帮助小飞象找到妈妈，共同冒险。当人们发现小象会飞后，马戏团重复生机，更吸引到一个充满心机的生意人文德维尔（迈克尔·基顿 饰）的注意，他把小飞象雇佣到他的大型游乐场Dreamland，与杂技演员柯莱特·马钱特(伊娃·格林 饰)做搭档，人气达到新高度，然而霍特·法瑞尔发现，游乐场光鲜亮丽的背后，充满种种见不得人的秘密。
雷霆沙赞！,https://p0.meituan.net/moviemachine/a68d37ba60e12701a33352d1470c6db0183972.jpg,"扎克瑞·莱维,马克·斯特朗,杰曼·翰苏",2019-04-05,https://maoyan.com/films/248123,动作,美国,132分钟,每个人身体里都潜藏着一位超级英雄，只需要一点魔力便能将其释放。14岁的街头小混混比利·巴特森(亚瑟·安其 饰)通过大喊“沙赞”这个词，就可以变身为成年超级英雄沙赞(扎克瑞·莱维 饰)，这是一种来自于古老巫师的恩惠。如神一般的肌肉身体里，仍存有一颗孩子心，他开心地与超能力为伴。他能飞吗？他能X光透视吗？他能从手中射出闪电吗？他能不用再考试了吗？沙赞以孩子般轻率又鲁莽的方式，开始测试他的能力极限。但他需要尽快掌握这些力量，以对抗塞迪斯·希瓦纳博士（马克·斯特朗 饰）控制的邪恶势力。
人间·喜剧,https://p0.meituan.net/movie/210c580200fe1fd5f71efc2cb08049b216821810.jpg,"艾伦,王智,鲁诺",2019-03-29,https://maoyan.com/films/1206824,剧情,中国大陆,90分钟,平凡夫妻濮通（艾伦 饰）和米粒（王智 饰）因被公司拖欠工资导致交不起房租；富二代杨小伟（鲁诺 饰）不被亲爹宠爱，欠下巴爷（任达华 饰）一笔巨款无处偿还。被钱逼到绝路的三人相遇，索性上演了一出富二代绑架案，一路认怂的夫妻变身假绑匪，最穷富二代变身假人质…… 一番折腾下，杨小伟的首富爸爸杨台竣（金士杰 饰）最终承诺了1000万的“赎金”。但事情远不止这么简单，狡猾的杨台竣并不想真的付钱，黑帮老大巴爷也气势汹汹上门要债。面对大佬们的四面夹击，濮通、米粒和杨小伟三人会如何应对？
